,model,data_name,sample_len,class_disbalance,f1_test_raw_disbalanced,f1_test_raw_population,f1_test_smote_on_disbalanced,f1_test_smote_on_population
2137,Decision Tree,house_16H,1000,0.6,0.6486486486486487,0.7252191503708698,0.8617363344051447,0.759957595032561
2138,Random Forest,house_16H,1000,0.6,0.6782608695652174,0.7644982349974786,0.8422764227642277,0.8043147979337587
2139,Neural Net,house_16H,1000,0.6,0.6333333333333333,0.7244745606982887,0.5624404194470924,0.6843080724876441
2140,AdaBoost,house_16H,1000,0.6,0.8455284552845529,0.832208444514205,0.8441558441558441,0.8385065227170491
2141,Naive Bayes,house_16H,1000,0.6,0.06060606060606061,0.08345080349591204,0.18235294117647058,0.15484219045049905
2142,QDA,house_16H,1000,0.6,0.6917293233082706,0.8102519295179845,0.7767584097859327,0.8136882129277566
2143,XGB,house_16H,1000,0.6,0.8235294117647058,0.8276081424936387,1.0,0.8426862925482981
2144,Nearest Neighbors,house_16H,1000,0.8,0.6153846153846154,0.6383177570093458,0.8101571946795647,0.6413752222880854
2145,Decision Tree,house_16H,1000,0.8,0.7909604519774012,0.793933708567855,0.875,0.8027988005140654
2146,Random Forest,house_16H,1000,0.8,0.8268156424581006,0.8180152671755725,0.8692493946731235,0.8316947909024212
2147,Neural Net,house_16H,1000,0.8,0.6640926640926641,0.6832323647191704,0.6245059288537549,0.6776943373249442
2148,AdaBoost,house_16H,1000,0.8,0.8181818181818182,0.8381995133819952,0.8790123456790123,0.8415826688731759
2149,Naive Bayes,house_16H,1000,0.8,0.2,0.14250747892303509,0.15034168564920272,0.10932297447280799
2150,QDA,house_16H,1000,0.8,0.7692307692307693,0.7094231458258689,0.7957276368491322,0.7834716121685374
2151,XGB,house_16H,1000,0.8,0.8554913294797688,0.8506593069610549,1.0,0.8564133373385401
2152,Nearest Neighbors,house_16H,1000,1.0,0.5870646766169154,0.6631093164118834,0.8154761904761905,0.6653243204372213
2153,Decision Tree,house_16H,1000,1.0,0.8181818181818182,0.7992717341829768,0.8949416342412452,0.8086237448316598
2154,Random Forest,house_16H,1000,1.0,0.7942583732057417,0.8319583152409901,0.8785228377065112,0.8319046927211972
2155,Neural Net,house_16H,1000,1.0,0.7426160337552743,0.7543700634468471,0.7511916110581506,0.7488111888111888
