,model,data_name,sample_len,class_disbalance,f1_test_raw_disbalanced,f1_test_raw_population,f1_test_bn_mix_on_disbalanced,f1_test_bn_mix_on_population
57,Decision Tree,bank-marketing,100,0.8,0.46153846153846156,0.6793296089385474,0.961038961038961,0.6584890965732088
58,Random Forest,bank-marketing,100,0.8,0.46153846153846156,0.7126315789473684,0.9024390243902439,0.6675686122922304
59,Neural Net,bank-marketing,100,0.8,0.4,0.6820631254811393,0.639344262295082,0.6836682122617208
60,AdaBoost,bank-marketing,100,0.8,0.4,0.7294843241391126,0.8809523809523809,0.7034664657121327
61,Naive Bayes,bank-marketing,100,0.8,0.2857142857142857,0.5749765698219307,0.676056338028169,0.6054054054054054
62,QDA,bank-marketing,100,0.8,0.2857142857142857,0.5878054350308289,0.7123287671232876,0.6358183376178235
63,XGB,bank-marketing,100,0.8,0.5714285714285714,0.7401408450704225,1.0,0.7310695478481932
64,Nearest Neighbors,bank-marketing,100,0.9,0.7619047619047619,0.6766205389657683,0.8085106382978723,0.685472496473907
65,Decision Tree,bank-marketing,100,0.9,0.7058823529411765,0.7007382169222033,0.9263157894736842,0.6834519881923945
66,Random Forest,bank-marketing,100,0.9,0.5882352941176471,0.6642902075906899,0.9425287356321839,0.7174870714422524
67,Neural Net,bank-marketing,100,0.9,0.6428571428571429,0.6829710144927537,0.656934306569343,0.6831095041322314
68,AdaBoost,bank-marketing,100,0.9,0.7058823529411765,0.7381691233514353,0.9555555555555556,0.7249278152069297
69,Naive Bayes,bank-marketing,100,0.9,0.5882352941176471,0.6673824350440197,0.6829268292682927,0.6969199178644764
70,QDA,bank-marketing,100,0.9,0.5882352941176471,0.6739864864864865,0.7380952380952381,0.6990291262135923
71,XGB,bank-marketing,100,0.9,0.8235294117647058,0.7042142575817251,1.0,0.7186842608529356
72,Nearest Neighbors,bank-marketing,100,1.0,0.8148148148148148,0.537890044576523,0.75,0.6033606877686596
73,Decision Tree,bank-marketing,100,1.0,0.75,0.7240071841947715,0.865979381443299,0.6893299272941639
74,Random Forest,bank-marketing,100,1.0,0.8888888888888888,0.7083576855639977,0.9333333333333333,0.7238236935093919
75,Neural Net,bank-marketing,100,1.0,0.8571428571428571,0.6793270456283457,0.6756756756756757,0.6802095311102594
76,AdaBoost,bank-marketing,100,1.0,0.75,0.710867006669282,0.9504950495049505,0.7159112105950383
77,Naive Bayes,bank-marketing,100,1.0,0.75,0.7194620844228614,0.7291666666666666,0.7230603448275862
78,QDA,bank-marketing,100,1.0,0.6363636363636364,0.716010907674328,0.7126436781609196,0.728025597590815
79,XGB,bank-marketing,100,1.0,0.75,0.6904952076677316,1.0,0.7113267400634447
80,Nearest Neighbors,bank-marketing,200,0.1,0.0,0.10899182561307902,0.5714285714285714,0.3829461322440643
81,Decision Tree,bank-marketing,200,0.1,0.4,0.28241724870938356,0.75,0.15571932073053507
82,Random Forest,bank-marketing,200,0.1,0.0,0.017037037037037038,0.7619047619047619,0.11243611584327087
83,Neural Net,bank-marketing,200,0.1,0.2857142857142857,0.2680840031112263,0.14953271028037382,0.6538409429616583
84,AdaBoost,bank-marketing,200,0.1,0.0,0.0988857938718663,0.6086956521739131,0.19190309212623527
85,Naive Bayes,bank-marketing,200,0.1,0.3333333333333333,0.33626311312730367,0.4166666666666667,0.35973597359735976
86,QDA,bank-marketing,200,0.1,0.0,0.1892764857881137,0.43478260869565216,0.3547586206896552
87,XGB,bank-marketing,200,0.1,0.0,0.0908130939809926,1.0,0.1703099510603589
88,Nearest Neighbors,bank-marketing,200,0.2,0.3333333333333333,0.34613112817483754,0.6792452830188679,0.6189723320158103
89,Decision Tree,bank-marketing,200,0.2,0.5,0.5035220453952518,0.7272727272727273,0.6469968387776607
90,Random Forest,bank-marketing,200,0.2,0.0,0.301454658000619,0.8095238095238095,0.6305483028720626
91,Neural Net,bank-marketing,200,0.2,0.15384615384615385,0.47892561983471077,0.2898550724637681,0.6788617886178862
92,AdaBoost,bank-marketing,200,0.2,0.5,0.5418768920282543,0.6511627906976745,0.6598432055749129
93,Naive Bayes,bank-marketing,200,0.2,0.4,0.6269592476489029,0.5555555555555556,0.547713717693837
94,QDA,bank-marketing,200,0.2,0.4,0.6157354618015963,0.5853658536585366,0.5683111954459203
95,XGB,bank-marketing,200,0.2,0.3333333333333333,0.5037227214377407,1.0,0.6319670353502495
96,Nearest Neighbors,bank-marketing,200,0.3,0.0,0.4538036325348776,0.7352941176470589,0.6576364350215941
97,Decision Tree,bank-marketing,200,0.3,0.5,0.5578424414478353,0.8727272727272727,0.6091326196198383
98,Random Forest,bank-marketing,200,0.3,0.4,0.4282185012352457,0.8285714285714286,0.7133655394524959
99,Neural Net,bank-marketing,200,0.3,0.15384615384615385,0.6833872010342599,0.39215686274509803,0.6818705957719411
100,AdaBoost,bank-marketing,200,0.3,0.5714285714285714,0.6164971751412429,0.696969696969697,0.709353673223605
101,Naive Bayes,bank-marketing,200,0.3,0.3333333333333333,0.5298507462686567,0.5490196078431373,0.5767841011743451
102,QDA,bank-marketing,200,0.3,0.6666666666666666,0.5581283164495899,0.5882352941176471,0.5942806076854334
103,XGB,bank-marketing,200,0.3,0.0,0.6503389459873169,1.0,0.7134853941576631
104,Nearest Neighbors,bank-marketing,200,0.4,0.5454545454545454,0.6001345593182328,0.7608695652173914,0.6547103689960833
105,Decision Tree,bank-marketing,200,0.4,0.8,0.619953596287703,0.9041095890410958,0.6662412252712189
106,Random Forest,bank-marketing,200,0.4,0.6666666666666666,0.5500495540138751,0.875,0.6790794979079497
107,Neural Net,bank-marketing,200,0.4,0.45714285714285713,0.6836326056065107,0.449438202247191,0.6767983789260384
108,AdaBoost,bank-marketing,200,0.4,0.625,0.6697028844068532,0.8860759493670886,0.6887554359080555
109,Naive Bayes,bank-marketing,200,0.4,0.6153846153846154,0.6704695041684949,0.6388888888888888,0.6540516473731077
110,QDA,bank-marketing,200,0.4,0.5714285714285714,0.6575282854656223,0.6301369863013698,0.6535947712418301
111,XGB,bank-marketing,200,0.4,0.75,0.6870719178082192,1.0,0.7052886556318126
112,Nearest Neighbors,bank-marketing,200,0.5,0.6666666666666666,0.584203359055833,0.8571428571428571,0.6088859706719194
113,Decision Tree,bank-marketing,200,0.5,0.47619047619047616,0.5603181617322138,0.845360824742268,0.5060127328460269
114,Random Forest,bank-marketing,200,0.5,0.375,0.5945049739459971,0.9583333333333334,0.6154200230149597
115,Neural Net,bank-marketing,200,0.5,0.5,0.6590241034685479,0.5208333333333334,0.6840879689521345
116,AdaBoost,bank-marketing,200,0.5,0.6666666666666666,0.6756521739130434,0.8679245283018868,0.7168589354381704
117,Naive Bayes,bank-marketing,200,0.5,0.42857142857142855,0.6431302001349224,0.7032967032967034,0.6758530183727034
118,QDA,bank-marketing,200,0.5,0.5333333333333333,0.6323195642305947,0.7191011235955056,0.6586291582942622
119,XGB,bank-marketing,200,0.5,0.631578947368421,0.6717095310136157,1.0,0.6785270997103848
120,Nearest Neighbors,bank-marketing,200,0.6,0.6666666666666666,0.6143431351808758,0.8333333333333334,0.6365511551155115
121,Decision Tree,bank-marketing,200,0.6,0.6896551724137931,0.7193209079165898,0.9401709401709402,0.7258912916423145
122,Random Forest,bank-marketing,200,0.6,0.8,0.644177051998281,0.9026548672566371,0.7092600080873434
123,Neural Net,bank-marketing,200,0.6,0.5454545454545454,0.6831466460666924,0.5454545454545454,0.6728760226557583
124,AdaBoost,bank-marketing,200,0.6,0.8333333333333334,0.7241996420759594,0.8596491228070176,0.7365708622398415
125,Naive Bayes,bank-marketing,200,0.6,0.7272727272727273,0.6766688410524027,0.5111111111111111,0.5609161793372319
126,QDA,bank-marketing,200,0.6,0.6956521739130435,0.6734561213434452,0.5806451612903226,0.5947355940241879
127,XGB,bank-marketing,200,0.6,0.9090909090909091,0.7366390121551225,1.0,0.7540550735571483
128,Nearest Neighbors,bank-marketing,200,0.7,0.6666666666666666,0.5750636132315522,0.8111888111888111,0.6395167575993764
129,Decision Tree,bank-marketing,200,0.7,0.6,0.5347593582887701,0.8617886178861789,0.655091103965702
130,Random Forest,bank-marketing,200,0.7,0.6,0.6178330063222149,0.8905109489051095,0.7120047309284447
131,Neural Net,bank-marketing,200,0.7,0.68,0.6827257503542445,0.5932203389830508,0.6763700797367422
132,AdaBoost,bank-marketing,200,0.7,0.6875,0.6539940196497224,0.8671328671328671,0.7529231359018593
133,Naive Bayes,bank-marketing,200,0.7,0.7878787878787878,0.6796319531576747,0.6707317073170732,0.6887628500531726
134,QDA,bank-marketing,200,0.7,0.7878787878787878,0.6588134504176483,0.6626506024096386,0.6800418702023726
135,XGB,bank-marketing,200,0.7,0.7777777777777778,0.6810521989313605,1.0,0.7163257429563875
136,Nearest Neighbors,bank-marketing,200,0.8,0.5185185185185185,0.6652173913043479,0.8,0.6697639843895187
137,Decision Tree,bank-marketing,200,0.8,0.5384615384615384,0.6580700623253815,0.8588957055214724,0.6942808284248527
138,Random Forest,bank-marketing,200,0.8,0.7096774193548387,0.6988741044012282,0.8220858895705522,0.694
139,Neural Net,bank-marketing,200,0.8,0.6829268292682927,0.6794800884955752,0.6473029045643154,0.6847175214787816
140,AdaBoost,bank-marketing,200,0.8,0.7333333333333333,0.7658843732112193,0.8125,0.7694050991501417
141,Naive Bayes,bank-marketing,200,0.8,0.6060606060606061,0.7030346820809249,0.6549707602339181,0.6730016769144773
142,QDA,bank-marketing,200,0.8,0.4827586206896552,0.6783202732569821,0.7361963190184049,0.7073406933953128
143,XGB,bank-marketing,200,0.8,0.6428571428571429,0.7264804911863736,1.0,0.7395375501624307
144,Nearest Neighbors,bank-marketing,200,0.9,0.8387096774193549,0.6827977315689981,0.8603351955307262,0.6673205178501374
145,Decision Tree,bank-marketing,200,0.9,0.7777777777777778,0.7083713295641072,0.9166666666666666,0.7267136914451077
146,Random Forest,bank-marketing,200,0.9,0.7878787878787878,0.7163365437034345,0.8924731182795699,0.7142309167625623
147,Neural Net,bank-marketing,200,0.9,0.5384615384615384,0.6839458413926499,0.6716417910447762,0.6839938239835306
148,AdaBoost,bank-marketing,200,0.9,0.7272727272727273,0.7491384001451116,0.8540540540540541,0.7455290611028316
149,Naive Bayes,bank-marketing,200,0.9,0.8387096774193549,0.712008072653885,0.7294117647058823,0.6983274829651043
150,QDA,bank-marketing,200,0.9,0.8387096774193549,0.7029237374769985,0.7790697674418605,0.6893546378916787
151,XGB,bank-marketing,200,0.9,0.8666666666666667,0.7455665484412918,1.0,0.7362893815635939
152,Nearest Neighbors,bank-marketing,200,1.0,0.5853658536585366,0.6477686266998659,0.8374384236453202,0.6735003796507213
153,Decision Tree,bank-marketing,200,1.0,0.5555555555555556,0.5612796011632738,0.8677248677248677,0.6757123473541384
154,Random Forest,bank-marketing,200,1.0,0.8181818181818182,0.7314198821516822,0.8855721393034826,0.7373511904761905
155,Neural Net,bank-marketing,200,1.0,0.7213114754098361,0.6850058117008911,0.6920415224913494,0.6838311019567456
156,AdaBoost,bank-marketing,200,1.0,0.7804878048780488,0.7387190684133915,0.8325358851674641,0.751847179672013
157,Naive Bayes,bank-marketing,200,1.0,0.7428571428571429,0.6754385964912281,0.6171428571428571,0.6788457546190575
158,QDA,bank-marketing,200,1.0,0.7368421052631579,0.6795523906408952,0.6363636363636364,0.6734482042765206
159,XGB,bank-marketing,200,1.0,0.85,0.735994004122166,1.0,0.7419354838709677
160,Nearest Neighbors,bank-marketing,300,0.1,0.2857142857142857,0.15195071868583163,0.6875,0.32779235928842226
161,Decision Tree,bank-marketing,300,0.1,0.4444444444444444,0.5134994807892004,0.75,0.27969465648854963
162,Random Forest,bank-marketing,300,0.1,0.0,0.05381818181818182,0.7586206896551724,0.3285111512959614
163,Neural Net,bank-marketing,300,0.1,0.2857142857142857,0.06417112299465241,0.21374045801526717,0.6499319522153334
164,AdaBoost,bank-marketing,300,0.1,0.0,0.16212534059945505,0.8275862068965517,0.47499331372024606
165,Naive Bayes,bank-marketing,300,0.1,0.25,0.45116148894486424,0.36363636363636365,0.5366472229267055
166,QDA,bank-marketing,300,0.1,0.2857142857142857,0.21472995090016367,0.3333333333333333,0.5375123395853899
167,XGB,bank-marketing,300,0.1,0.0,0.16160927378111148,1.0,0.32924274169410356
168,Nearest Neighbors,bank-marketing,300,0.2,0.4444444444444444,0.37673758865248225,0.6779661016949152,0.5735849056603773
169,Decision Tree,bank-marketing,300,0.2,0.2857142857142857,0.4359504132231405,0.7027027027027027,0.6291739894551845
170,Random Forest,bank-marketing,300,0.2,0.0,0.19147540983606556,0.75,0.4405688221089348
171,Neural Net,bank-marketing,300,0.2,0.0,0.14583333333333334,0.3103448275862069,0.6593220338983051
172,AdaBoost,bank-marketing,300,0.2,0.2857142857142857,0.3567099567099567,0.5915492957746479,0.5809712151175566
173,Naive Bayes,bank-marketing,300,0.2,0.3333333333333333,0.3924119241192412,0.4827586206896552,0.5425298562027785
174,QDA,bank-marketing,300,0.2,0.3076923076923077,0.3483799501523124,0.4666666666666667,0.5526570048309178
175,XGB,bank-marketing,300,0.2,0.6,0.40583700440528636,1.0,0.45288753799392095
176,Nearest Neighbors,bank-marketing,300,0.3,0.0,0.43730242360379346,0.7472527472527473,0.5727636849132176
177,Decision Tree,bank-marketing,300,0.3,0.5,0.6549324600900532,0.7857142857142857,0.5407262021589794
178,Random Forest,bank-marketing,300,0.3,0.2,0.5333333333333333,0.8536585365853658,0.6510791366906474
179,Neural Net,bank-marketing,300,0.3,0.32,0.5196211096075778,0.524822695035461,0.682567520168362
180,AdaBoost,bank-marketing,300,0.3,0.18181818181818182,0.6369690011481056,0.717391304347826,0.687592788971368
181,Naive Bayes,bank-marketing,300,0.3,0.26666666666666666,0.6197881451431148,0.5544554455445545,0.6940639269406392
182,QDA,bank-marketing,300,0.3,0.26666666666666666,0.6082166628414046,0.5918367346938775,0.677112005081516
183,XGB,bank-marketing,300,0.3,0.375,0.641299510458389,1.0,0.6700196807347474
184,Nearest Neighbors,bank-marketing,300,0.4,0.0,0.5128960943257185,0.7258064516129032,0.6267972494269639
185,Decision Tree,bank-marketing,300,0.4,0.35294117647058826,0.5801561782269178,0.7659574468085106,0.725365305357812
186,Random Forest,bank-marketing,300,0.4,0.15384615384615385,0.4467849223946785,0.7194244604316546,0.746742209631728
187,Neural Net,bank-marketing,300,0.4,0.3333333333333333,0.6809658361161058,0.4444444444444444,0.6729607250755287
